anime_id,title,title_japanese,episodes,aired_from,tags,image_url,image_path
3271,Bakutou Sengen Daigunder,爆闘宣言ダイガンダー,39,2002-04-05,origin pg - children nipponanim sci-fi adventur mecha,https://myanimelist.cdn-dena.com/images/anime/2/14747.jpg,posters/3271.jpg
3836,Meiken Jolie,名犬ジョリィ,52,1981-04-07,novel g - all age visual80 adventur histor,https://myanimelist.cdn-dena.com/images/anime/8/22959.jpg,posters/3836.jpg
13331,Jormungand: Perfect Order,ヨルムンガンド PERFECT ORDER,12,2012-10-10,manga r+ - mild nuditi whitefox action adventur seinen,https://myanimelist.cdn-dena.com/images/anime/4/73278.jpg,posters/13331.jpg
8909,Tales of Symphonia The Animation: Tethe&#039;alla-hen Specials,テイルズオブシンフォニア テセアラ編 また会えたね～笑撃のジャッジメント！～,4,2010-03-25,game g - all age ufot comedi,https://myanimelist.cdn-dena.com/images/anime/4/60787.jpg,posters/8909.jpg
33498,Ganbare! Kickers: Hitoribocchi no Ace Striker,がんばれ!キッカーズスペシャル ひとりぼっちのエースストライカー,1,1988-01-05,manga g - all age studiopierrot sport drama shounen,https://myanimelist.cdn-dena.com/images/anime/6/80595.jpg,posters/33498.jpg
526,Boku no Chikyuu wo Mamotte,ぼくの地球を守って,6,1993-12-17,manga pg-13 - teen 13 or older productioni.g drama sci-fi shoujo,https://myanimelist.cdn-dena.com/images/anime/5/25035.jpg,posters/526.jpg
33850,Nil Admirari no Tenbin,ニル・アドミラリの天秤,12,2018-04-08,visual novel pg-13 - teen 13 or older zero-g fantasi histor romanc,https://myanimelist.cdn-dena.com/images/anime/8/87560.jpg,posters/33850.jpg
3313,Montana Jones,モンタナ・ジョーンズ,52,1994-04-02,origin g - all age studiojunio adventur comedi,https://myanimelist.cdn-dena.com/images/anime/13/5303.jpg,posters/3313.jpg
34373,Himitsukessha Taka no Tsume: Teikyou Kakutoku Daisakusen - Sakusen Kaigi,秘密結社 鷹の爪 提供獲得大作戦 作戦会議第,12,2009-10-05,origin g - all age dle comedi parodi,https://myanimelist.cdn-dena.com/images/anime/10/82804.jpg,posters/34373.jpg
1156,I: Wish You Were Here,i -wish you were here- ～あなたがここにいてほしい～,4,2001-10-04,origin pg-13 - teen 13 or older gonzo action drama mysteri sci-fi,https://myanimelist.cdn-dena.com/images/anime/12/73918.jpg,posters/1156.jpg
9366,Kaichou wa Maid-sama!: Omake dayo!,会長はメイド様！おまけだよ！,1,2011-05-11,manga pg-13 - teen 13 or older j.c.staff comedi school shoujo,https://myanimelist.cdn-dena.com/images/anime/3/29438.jpg,posters/9366.jpg
35805,Cinderella Girls Gekijou Specials,シンデレラガールズ劇場,2,2017-06-28,4-koma manga pg-13 - teen 13 or older gather sliceoflif comedi,https://myanimelist.cdn-dena.com/images/anime/2/86432.jpg,posters/35805.jpg
9855,Shujii no Inbou,主治医の淫謀,2,2011-02-11,visual novel rx - hentai y.o.u.c hentai,https://myanimelist.cdn-dena.com/images/anime/8/27270.jpg,posters/9855.jpg
17115,Pokemon Best Wishes! Season 2: Episode N,ポケットモンスター ベストウイッシュ シーズン2 エピソードN,14,2013-01-17,game pg - children olm action adventur comedi kid fantasi,https://myanimelist.cdn-dena.com/images/anime/7/45749.jpg,posters/17115.jpg
2712,Shiratori Reiko de Gozaimasu!,白鳥麗子でございます！,1,1990-04-25,manga pg-13 - teen 13 or older ajia-do comedi romanc,https://myanimelist.cdn-dena.com/images/anime/3/83265.jpg,posters/2712.jpg
5097,Hatsu Inu 2 The Animation: Strange Kind of Woman - Again,初犬 2 The Animation ストレンジ・カインド オブ ウーマンズ ～again～,2,2008-09-26,manga rx - hentai officetakeoff hentai,https://myanimelist.cdn-dena.com/images/anime/3/9995.jpg,posters/5097.jpg
4415,World Destruction: Sekai Bokumetsu no Rokunin,ワールド・デストラクション ～世界撲滅の六人～,13,2008-07-08,game pg-13 - teen 13 or older productioni.g adventur fantasi,https://myanimelist.cdn-dena.com/images/anime/3/30347.jpg,posters/4415.jpg
24531,Ane Log: Moyako Neesan no Tomaranai Monologue,姉ログ 靄子姉さんの止まらないモノローグ,3,2014-09-16,manga pg-13 - teen 13 or older brain&#039;sbas comedi ecchi school shounen,https://myanimelist.cdn-dena.com/images/anime/5/66839.jpg,posters/24531.jpg
